experiment_id,parent_experiment,date_if_known,category,model_family,objective,feature_summary,cv_scheme,oof_auc,public_lb,private_lb,status,submission_created,script_path,metrics_path,report_paths,prediction_paths,key_result,decision,notes,source_confidence
EXP-011,EXP-009;EXP-010,2026-08-22T20:59:39-03:00,ENSEMBLE,Weighted rank ensemble,incorporate EXP-010,existing predictions,OOF ensemble optimization,0.96483039,0.96611,,SUCCESS,true,src/ensemble_exp011.py,outputs/metrics/exp011_ensemble_metrics.txt,,outputs/submissions/submission_exp011_ensemble.csv,Joint rank blend,Keep,,EXACT
EXP-012,EXP-008,2026-08-22T22:02:30-03:00,MODEL,XGBoost,explicit threshold/region signal,screen/social thresholds and regions,5-fold StratifiedKFold,0.96523300,0.96696,,SUCCESS,true,src/train_xgboost_exp012_threshold_features.py,outputs/metrics/exp012_xgboost_thresholds_metrics.txt,,outputs/predictions/oof_exp012_xgboost_thresholds.csv;outputs/predictions/test_exp012_xgboost_thresholds.csv;outputs/submissions/submission_exp012_xgboost_thresholds.csv,Major feature gain,Keep,,EXACT
EXP-013,EXP-012,2026-08-22T23:09:13-03:00,ENSEMBLE,Weighted rank ensemble,blend around threshold model,existing predictions,OOF ensemble optimization,0.96541346,0.96688,,MARGINAL,true,src/ensemble_exp013.py,outputs/metrics/exp013_ensemble_metrics.txt,,outputs/submissions/submission_exp013_ensemble.csv,OOF gain but LB below EXP-012,Archive,,EXACT
EXP-014,EXP-012,2026-08-23T01:04:52-03:00,MODEL,XGBoost,ambiguous-zone context,EXP-012 + contextual features,5-fold StratifiedKFold,0.96500336,,,REJECTED,true,src/train_xgboost_exp014_ambiguous_features.py,outputs/metrics/exp014_xgboost_ambiguous_metrics.txt,,outputs/predictions/oof_exp014_xgboost_ambiguous.csv;outputs/predictions/test_exp014_xgboost_ambiguous.csv;outputs/submissions/submission_exp014_xgboost_ambiguous.csv,Context block worsened CV,Reject features,,EXACT
EXP-015,EXP-012,2026-08-23T08:42:14-03:00,MODEL,XGBoost,reduce depth,EXP-012 features; depth 5,5-fold StratifiedKFold,0.96560512,0.9671,,SUCCESS,true,src/train_xgboost_exp015_depth5.py,outputs/metrics/exp015_xgboost_depth5_metrics.txt,,outputs/predictions/oof_exp015_xgboost_depth5.csv;outputs/predictions/test_exp015_xgboost_depth5.csv;outputs/submissions/submission_exp015_xgboost_depth5.csv,Improved generalization,Keep,,EXACT
EXP-016,EXP-015,2026-08-23T13:30:25-03:00,MODEL,XGBoost,increase estimator ceiling,EXP-012 features; depth 5; 9000 trees,5-fold StratifiedKFold,0.96570217,0.9673,,SUCCESS,true,src/train_xgboost_exp016_depth5_9000.py,outputs/metrics/exp016_xgboost_depth5_9000_metrics.txt,outputs/reports/exp016_learning_curve.csv,outputs/predictions/oof_exp016_xgboost_depth5_9000.csv;outputs/predictions/test_exp016_xgboost_depth5_9000.csv;outputs/submissions/submission_exp016_xgboost_depth5_9000.csv,Strong XGBoost reference,Keep,,EXACT
EXP-017,EXP-016,2026-08-23T17:21:15-03:00,ENSEMBLE,Weighted ensemble,blend around EXP-016,existing predictions,OOF ensemble optimization,0.96578124,0.96725,,MARGINAL,true,src/ensemble_exp017.py,outputs/metrics/exp017_ensemble_metrics.txt,,outputs/submissions/submission_exp017_ensemble.csv,Small robust OOF gain,Archive,,EXACT
EXP-018,EXP-016,2026-08-23T18:38:06-03:00,MODEL,XGBoost,nested negative-zone rules,EXP-016 + fold-discovered rules,nested 5-fold,0.96569444,,,REJECTED,true,src/train_xgboost_exp018_nested_negative_rules.py,outputs/metrics/exp018_xgboost_nested_negative_metrics.txt,outputs/reports/exp018_nested_rules_by_fold.csv,outputs/predictions/oof_exp018_xgboost_nested_negative.csv;outputs/predictions/test_exp018_xgboost_nested_negative.csv;outputs/submissions/submission_exp018_xgboost_nested_negative.csv,Rules worsened reference,Reject rules,,EXACT
EXP-019,EXP-012,2026-08-24T00:35:44-03:00,MODEL,LightGBM,model diversity on threshold features,EXP-012 threshold features,5-fold StratifiedKFold,0.96451349,,,REJECTED,true,src/train_lightgbm_exp019_thresholds.py,outputs/metrics/exp019_lightgbm_thresholds_metrics.txt,,outputs/predictions/oof_exp019_lightgbm_thresholds.csv;outputs/predictions/test_exp019_lightgbm_thresholds.csv;outputs/submissions/submission_exp019_lightgbm_thresholds.csv,Below XGBoost reference,Use only as diagnostic,,EXACT
EXP-020,EXP-012,2026-08-24T09:23:12-03:00,MODEL,CatBoost,model diversity on threshold features,EXP-012 threshold features,5-fold StratifiedKFold,0.96487849,,,REJECTED,true,src/train_catboost_exp020_thresholds.py,outputs/metrics/exp020_catboost_thresholds_metrics.txt,,outputs/predictions/oof_exp020_catboost_thresholds.csv;outputs/predictions/test_exp020_catboost_thresholds.csv;outputs/submissions/submission_exp020_catboost_thresholds.csv,Below reference but useful diversity,Use only in blend diagnostics,,EXACT
EXP-021,EXP-016;EXP-020,2026-08-24T09:41:59-03:00,ENSEMBLE,Rank ensemble,blend XGBoost and CatBoost,existing predictions,OOF ensemble optimization,0.9658597975,0.96733,,SUCCESS,true,src/ensemble_exp021.py,outputs/metrics/exp021_ensemble_metrics.txt,,outputs/submissions/submission_exp021_ensemble.csv,Best recorded Public LB in original log,Keep,,EXACT
EXP-022,EXP-020,2026-08-24T12:36:41-03:00,MODEL,CatBoost,increase CatBoost ceiling,threshold features; 9000 iterations,5-fold StratifiedKFold,0.96491092,,,MARGINAL,true,src/train_catboost_exp022_thresholds_9000.py,outputs/metrics/exp022_catboost_thresholds_9000_metrics.txt,,outputs/predictions/oof_exp022_catboost_thresholds_9000.csv;outputs/predictions/test_exp022_catboost_thresholds_9000.csv;outputs/submissions/submission_exp022_catboost_thresholds_9000.csv,Small individual change,Archive,,EXACT
EXP-023,EXP-016;EXP-022,,DIAGNOSTIC,Nested gating/logistic stack,test learned combination,existing OOF predictions,nested 5-fold,0.9658514697,,,DIAGNOSTIC,false,src/stack_exp023_logreg.py;src/diagnose_nested_gating_exp023.py,outputs/metrics/exp023_nested_gating_diagnostic.txt;outputs/metrics/exp023_stack_logreg_metrics.txt,outputs/reports/exp023_nested_gate_by_fold.csv;outputs/reports/exp023_stack_coefficients.csv,outputs/predictions/oof_exp023_nested_gating_diagnostic.csv;outputs/predictions/oof_exp023_stack_logreg.csv,Did not beat EXP-021 criterion,Close stacking branch,,RECONSTRUCTED
EXP-024,EXP-016,,DIAGNOSTIC,KNN/signatures,local-neighbor residual signal,scaled numeric spaces and rounded signatures,nested 5-fold,0.9656907606,,,REJECTED,false,src/diagnose_exp024_nearest_neighbors.py,outputs/metrics/exp024_nearest_neighbors_diagnostic.txt,outputs/reports/exp024_knn_configs.csv;outputs/reports/exp024_nearest_distance_bands.csv;outputs/reports/exp024_signature_results.csv,outputs/predictions/oof_exp024_best_nested_blend.csv,Best blend worsened EXP-016,Discard KNN branch,,EXACT
EXP-025,,,DIAGNOSTIC,Adversarial LightGBM,measure train/test shift,original features and missingness,5-fold adversarial CV,0.5655417257,,,DIAGNOSTIC,false,src/diagnose_exp025_adversarial_validation.py,outputs/metrics/exp025_adversarial_validation.txt,outputs/reports/exp025_adversarial_quintiles.csv;outputs/reports/exp025_distribution_distances.csv;outputs/reports/exp025_feature_shift.csv;outputs/reports/exp025_missing_shift.csv,outputs/predictions/oof_exp025_adversarial_train.csv,Moderate shift driven by missingness,No CV weighting,,EXACT
EXP-026,EXP-016,,DIAGNOSTIC,Forensic priors/KNN,test original-data priors,external original dataset priors,nested 5-fold,,,,DIAGNOSTIC,false,src/diagnose_exp026_original_forensics.py,outputs/metrics/exp026_original_forensics.txt,outputs/reports/exp026_correlation_shift.csv;outputs/reports/exp026_distance_to_original.csv;outputs/reports/exp026_original_ambiguous_analysis.csv;outputs/reports/exp026_original_priors.csv;outputs/reports/exp026_original_vs_synthetic_distributions.csv,outputs/predictions/oof_exp026_original_prior_blend.csv,All prior blends worsened,No original-data prior,,RECONSTRUCTED
EXP-027,EXP-016;EXP-020,2026-08-25T14:54:20-03:00,ENSEMBLE,XGBoost seed ensemble + CatBoost,reduce seed variance,EXP-016 features; seeds 42/2026/777,5-fold seed ensemble,0.9659191881,,,SUCCESS,true,src/diagnose_exp027_seed_diversity.py,outputs/metrics/exp027_seed_diversity.txt,outputs/reports/exp027_seed_correlations.csv;outputs/reports/exp027_seed_ensemble_results.csv;outputs/reports/exp027_seed_fold_metrics.csv,outputs/predictions/oof_exp027_seed2026.csv;outputs/predictions/oof_exp027_seed42.csv;outputs/predictions/oof_exp027_seed777.csv;outputs/submissions/submission_exp027_seed_ensemble.csv,Seed bag plus CatBoost,Keep,,EXACT
EXP-028,EXP-027,,ENSEMBLE,Five-seed XGBoost ensemble,extend seed bag,add seeds 31415/1234,5-fold seed ensemble,0.9659307051,,,MARGINAL,false,src/train_exp028_seed_extension.py,outputs/metrics/exp028_seed5_metrics.txt,outputs/reports/exp028_final_blends.csv;outputs/reports/exp028_seed_correlations.csv;outputs/reports/exp028_seed_fold_metrics.csv;outputs/reports/exp028_seed_marginal_gain.csv;outputs/reports/exp028_seed_subset_results.csv,outputs/predictions/oof_exp028_seed1234.csv;outputs/predictions/oof_exp028_seed31415.csv;outputs/predictions/test_exp028_seed1234.csv;outputs/predictions/test_exp028_seed31415.csv,Only +0.0000115 vs EXP-027,Do not deploy,,EXACT
EXP-029,EXP-027,,DIAGNOSTIC,Pairwise ranking analysis,locate ranking errors,score bands and pair features,diagnostic CV,,,,DIAGNOSTIC,false,src/diagnose_exp029_pairwise_ranking.py,outputs/metrics/exp029_pairwise_ranking.txt,outputs/reports/exp029_feature_shifts.csv;outputs/reports/exp029_hard_cases.csv;outputs/reports/exp029_pair_error_features.csv;outputs/reports/exp029_pairwise_model_comparison.csv;outputs/reports/exp029_score_bands.csv,,Secondary pair structure found,Motivated EXP-030,,RECONSTRUCTED
EXP-030,EXP-016;EXP-022,,MODEL,LightGBM rank corrector,correct local ranks,cross-fitted residual/rank features,nested 5-fold,0.965835,,,REJECTED,false,src/train_exp030_rank_corrector.py,outputs/metrics/exp030_rank_corrector_metrics.txt,outputs/reports/exp030_band_results.csv;outputs/reports/exp030_fold_choices.csv;outputs/reports/exp030_pairwise_results.csv,outputs/predictions/oof_exp030_rank_corrector.csv,Below EXP-027/028,Close corrector branch,,EXACT
EXP-031,EXP-016,,MODEL,ExtraTrees,seek model diversity,EXP-016 threshold features,planned 5-fold,,,,FAILED,false,src/train_exp031_extratrees.py,outputs/metrics/exp031_extratrees_metrics.txt;outputs/metrics/exp031b_extratrees_metrics.txt,outputs/reports/exp031b_blends.csv;outputs/reports/exp031b_correlations.csv;outputs/reports/exp031b_fold_progress.csv;outputs/reports/exp031b_regional.csv,outputs/predictions/oof_exp031b_extratrees.csv;outputs/predictions/test_exp031b_extratrees.csv,Blocked before Fold 1 completed,Use memory-safe revision,,EXACT
EXP-031B,EXP-031,,MODEL,ExtraTrees,memory-safe diversity test,EXP-016 threshold features,5-fold StratifiedKFold,0.9321944743,,,REJECTED,false,src/train_exp031b_extratrees_memory_safe.py,outputs/metrics/exp031b_extratrees_metrics.txt,outputs/reports/exp031b_blends.csv;outputs/reports/exp031b_correlations.csv;outputs/reports/exp031b_fold_progress.csv;outputs/reports/exp031b_regional.csv,outputs/predictions/oof_exp031b_extratrees.csv;outputs/predictions/test_exp031b_extratrees.csv,Diversity not useful,Close ExtraTrees,,EXACT
EXP-032,,,MODEL,Embedded-categorical MLP,neural viability test,numeric + categorical embeddings,Fold 1 viability only,0.9383593818,,,REJECTED,false,src/train_exp032_neural_tabular.py,outputs/metrics/exp032_neural_metrics.txt,outputs/reports/exp032_neural_blends.csv;outputs/reports/exp032_neural_correlations.csv;outputs/reports/exp032_neural_folds.csv;outputs/reports/exp032_neural_regional.csv,,Quality/time gate failed,No full CV,,EXACT
EXP-033,EXP-027,,DIAGNOSTIC,Target encoding,test exact/discretized residual signal,fold-safe exact/discretized TE,nested 5-fold,0.9659226941,,,DIAGNOSTIC,false,src/diagnose_exp033_exact_value_te.py,outputs/metrics/exp033_exact_value_te_metrics.txt,outputs/reports/exp033_pair_te_results.csv;outputs/reports/exp033_te_blends.csv;outputs/reports/exp033_te_correlations.csv;outputs/reports/exp033_te_results.csv;outputs/reports/exp033_te_stability.csv;outputs/reports/exp033_test_transferability.csv;outputs/reports/exp033_value_cardinality.csv,outputs/predictions/oof_exp033_best_te_nested.csv,No sufficient direct residual signal,Did not justify continuation,,RECONSTRUCTED
EXP-034,,,MODEL,Factorization Machine,CPU-safe interaction diversity,sparse binary interactions,5-fold StratifiedKFold,0.9325665537,,,REJECTED,false,src/train_exp034_factorization_machine.py,outputs/metrics/exp034_factorization_machine.txt,outputs/reports/exp034_blends.csv;outputs/reports/exp034_correlations.csv;outputs/reports/exp034_folds.csv;outputs/reports/exp034_interactions.csv;outputs/reports/exp034_pairwise.csv;outputs/reports/exp034_regional.csv,outputs/predictions/oof_exp034_fm.csv;outputs/predictions/test_exp034_fm.csv,Weak standalone and blend,Close FM,,EXACT
EXP-035,EXP-027,2026-08-26T12:35:25,ENSEMBLE,Sparse logistic + rank blend,exact-value categorical signal,exact categories + selected interactions/ratios,nested 5-fold blend,0.9668097849,0.96815,,SUCCESS,true,src/train_exp035_exact_value_logistic.py,outputs/metrics/exp035_exact_logistic_metrics.txt,outputs/reports/exp035_blends.csv;outputs/reports/exp035_correlations.csv;outputs/reports/exp035_pairwise.csv;outputs/reports/exp035_regional.csv;outputs/reports/exp035_variants.csv;outputs/reports/exp035_variants_progress.csv,outputs/predictions/oof_exp035_exact_logistic.csv;outputs/predictions/test_exp035_exact_logistic.csv;outputs/submissions/submission_exp035_exact_logistic_ensemble.csv,EXP-027 0.80 + logistic 0.20,Keep,Public LB supplied explicitly during preservation and not found in local artifact.,REPORTED
EXP-036,EXP-035,2026-08-26T15:20:31,ENSEMBLE,Sparse logistic ratios + rank blend,controlled ratio ablation,five selected ratios,nested 5-fold blend,0.9670368278,0.96838,,SUCCESS,true,src/train_exp036_ratio_ablation.py,outputs/metrics/exp036_ratio_ablation_metrics.txt,outputs/reports/exp036_all_fold_progress.csv;outputs/reports/exp036_blends.csv;outputs/reports/exp036_correlations.csv;outputs/reports/exp036_forward_selection.csv;outputs/reports/exp036_new_ratio_candidates.csv;outputs/reports/exp036_pairwise.csv;outputs/reports/exp036_ratio_granularity.csv;outputs/reports/exp036_ratio_leave_one_out.csv;outputs/reports/exp036_ratio_pairs.csv;outputs/reports/exp036_ratio_single_ablation.csv;outputs/reports/exp036_regional.csv,outputs/predictions/oof_exp036_ratio_logistic.csv;outputs/predictions/test_exp036_ratio_logistic.csv;outputs/submissions/submission_exp036_ratio_logistic_ensemble.csv,Improved all folds vs EXP-035 ensemble,Keep,Public LB supplied explicitly during preservation and not found in local artifact.,REPORTED
EXP-037,EXP-036,2026-08-27T01:00:19,ENSEMBLE,Relational sparse logistic + rank blend,add relational differences,ratios + screen_minus_social,nested 5-fold blend,0.9670683293,0.96842,,SUCCESS,true,src/train_exp037_relational_features.py;src/finalize_exp037_submission.py,outputs/metrics/exp037_relational_metrics.txt,outputs/reports/exp037_all_fold_progress.csv;outputs/reports/exp037_blends.csv;outputs/reports/exp037_correlations.csv;outputs/reports/exp037_difference_candidates.csv;outputs/reports/exp037_difference_granularity.csv;outputs/reports/exp037_final_ablation.csv;outputs/reports/exp037_forward_selection.csv;outputs/reports/exp037_inverse_ratios.csv;outputs/reports/exp037_pairwise.csv;outputs/reports/exp037_regional.csv,outputs/predictions/oof_exp037_relational_logistic.csv;outputs/predictions/test_exp037_relational_logistic.csv;outputs/submissions/submission_exp037_relational_logistic_ensemble.csv,Small consistent relational gain,Keep,Public LB supplied explicitly during preservation and not found in local artifact.,REPORTED
EXP-038,EXP-037,,MODEL,Discretized sparse logistic,refine relations with bins,unsupervised relation discretization,5-fold StratifiedKFold,0.9635752939,,,REJECTED,false,src/train_exp038_discretization_refinement.py,outputs/metrics/exp038_discretization_metrics.txt,outputs/reports/exp038_all_fold_progress.csv;outputs/reports/exp038_blends.csv;outputs/reports/exp038_cardinality.csv;outputs/reports/exp038_forward_selection.csv;outputs/reports/exp038_pairwise.csv;outputs/reports/exp038_quantile_bins.csv;outputs/reports/exp038_ratio_discretizations.csv;outputs/reports/exp038_regional.csv;outputs/reports/exp038_screen_minus_social_bins.csv,outputs/predictions/oof_exp038_discretized_logistic.csv;outputs/predictions/test_exp038_discretized_logistic.csv,Delta exactly zero vs EXP-037 individual,Close discretization,,EXACT
EXP-039,EXP-037;EXP-027,2026-08-29T03:51:53,ENSEMBLE,High-bin LightGBM + rank blend,high-resolution non-target encodings,frequency/value codes; max_bin 4095,5-fold + nested blend,0.9674680608,0.96876,,SUCCESS,true,src/train_exp039_high_bin_lgbm.py;src/finalize_exp039_refined_blend.py,outputs/metrics/exp039_highbin_metrics.txt,outputs/reports/exp039_all_fold_progress.csv;outputs/reports/exp039_blends.csv;outputs/reports/exp039_correlations.csv;outputs/reports/exp039_feature_sets.csv;outputs/reports/exp039_frequency_screen.csv;outputs/reports/exp039_maxbin_screen.csv;outputs/reports/exp039_param_screen.csv;outputs/reports/exp039_regional.csv;outputs/reports/exp039_value_codes.csv,outputs/predictions/oof_exp039_lgbm_highbin.csv;outputs/predictions/oof_exp039_lgbm_highbin_raw.csv;outputs/predictions/test_exp039_lgbm_highbin.csv;outputs/predictions/test_exp039_lgbm_highbin_raw.csv;outputs/submissions/submission_exp039_highbin_lgbm_ensemble.csv,Best recovered OOF,Final leading candidate,Public LB supplied explicitly during preservation and not found in local artifact.,REPORTED
EXP-040,EXP-039,,MODEL,Dual-representation LightGBM,native numeric + categorical duplicates,raw/relational categorical representations,3-fold screen only,0.966195,,,REJECTED,false,src/train_exp040_dual_repr_lgbm.py,outputs/metrics/exp040_dual_repr_metrics.txt,outputs/reports/exp040_all_fold_progress.csv;outputs/reports/exp040_blends.csv;outputs/reports/exp040_cat_params.csv;outputs/reports/exp040_correlations.csv;outputs/reports/exp040_dual_sets.csv;outputs/reports/exp040_feature_importance.csv;outputs/reports/exp040_maxbin_check.csv;outputs/reports/exp040_pairwise.csv;outputs/reports/exp040_raw_cat_screen.csv;outputs/reports/exp040_regional.csv;outputs/reports/exp040_relational_cat_screen.csv,,Best candidate -0.000317 vs baseline screen,Close dual representation,,EXACT
EXP-041,EXP-039,,MODEL,RealMLP-TD,GPU RealMLP viability,A raw; B own relational features,Fold 1 only,,,,REJECTED,false,src/train_exp041_realmlp.py;notebooks/exp041_realmlp_kaggle.ipynb,,,,Fold1 A=0.94279075; Fold1 B=0.94417173,Close RealMLP; not 5-fold OOF,Reported Fold 1 results only; A and B are not 5-fold OOF. No local metric artifact.,REPORTED
EXP-041B,EXP-041,,DIAGNOSTIC,RealMLP API audit,audit pytabkit usage without training,configuration/API/preprocessing audit,no training,,,,DIAGNOSTIC,false,src/diagnose_exp041b_realmlp.py,,,,No critical configuration error found,Close RealMLP,,EXACT
